ticker,name,yahoo_ticker
AMBU-B,Ambu A/S B,AMBU-B.CO
BAVA,Bavarian Nordic A/S,BAVA.CO
CARL-B,Carlsberg A/S B,CARL-B.CO
COLO-B,Coloplast A/S B,COLO-B.CO
DANSKE,Danske Bank A/S,DANSKE.CO
DEMANT,Demant A/S,DEMANT.CO
DSV,DSV A/S,DSV.CO
FLS,FLSmidth & Co. A/S,FLS.CO
GMAB,Genmab A/S,GMAB.CO
GN,GN Store Nord A/S,GN.CO
ISS,ISS A/S,ISS.CO
JYSK,Jyske Bank A/S,JYSK.CO
MAERSK-A,A.P. Moller - Maersk A/S A,MAERSK-A.CO
MAERSK-B,A.P. Moller - Maersk A/S B,MAERSK-B.CO
NKT,NKT A/S,NKT.CO
NOVO-B,Novo Nordisk A/S B,NOVO-B.CO
NSIS-B,Novonesis A/S B,NSIS-B.CO
ORSTED,Orsted A/S,ORSTED.CO
PNDORA,Pandora A/S,PNDORA.CO
RBREW,Royal Unibrew A/S,RBREW.CO
ROCK-B,Rockwool A/S B,ROCK-B.CO
SYDB,Sydbank A/S,SYDB.CO
TRYG,Tryg A/S,TRYG.CO
VWS,Vestas Wind Systems A/S,VWS.CO
ZEAL,Zealand Pharma A/S,ZEAL.CO
